Country,Year,Access to Electricity(%),Food Production Index,Population Density,Unemployed Labour(%),"Road Accident Mortality(per 100,000 people)",Electric power consumption(kWh/Capita),GDP Deflator,GDP/Capita($),Literacy Rate Adult,Immunization(Measles %),Immunization(DPT %),Life Expectancy at Birth,Total greenhouse gas emissions (kt of CO2 equivalent),Rural Population(%)
Thailand,2002,91.10829926,83.59,125.4068253,1.82,39.2,1617.566211,1.690458056,2096.187802,92.64653778,94,96,71.089,278010,66.266
Thailand,2003,91.75370789,88.18,126.3478772,1.54,38.8,1713.620882,2.149549016,2359.116831,92.64653778,96,98,71.389,291220,65.059
Thailand,2004,92.38847351,84.85,127.2197596,1.51,38.9,1827.239731,3.569259426,2660.126835,92.64653778,96,98,71.728,309760,63.831
Thailand,2005,93.01157379,84.04,128.0435886,1.35,38.9,1914.801243,5.091556183,2894.062656,93.50646973,96,98,72.099,319060,62.589
Thailand,2006,99.14620148,86.49,128.8193936,1.22,38.7,2005.256141,5.104213273,3369.543198,93.50646973,96,98,72.499,323430,61.327
Thailand,2007,94.23646545,95.64,129.5426882,1.18,38.9,2080.246394,2.473337742,3973.017172,93.50646973,96,98,72.916,336130,60.05
Thailand,2008,94.85056305,93.6,130.2256454,1.18,38.9,2105.440202,5.133780352,4379.658787,93.50646973,98,99,73.341,341850,58.758
Thailand,2009,98.96,95.57,130.8830355,0.93,38.7,2101.146287,0.194772131,4213.006654,93.50646973,98,99,73.766,340520,57.457
Thailand,2010,99.7,96.57,131.5254399,0.62,38.3,2307.804541,4.080989227,5076.339872,96.4309082,98,99,74.184,360560,56.144
Thailand,2011,99.35928345,102.96,132.1583492,0.66,38.2,2283.748548,3.74309812,5492.1215,96.4309082,98,99,74.593,362400,55.302
Thailand,2012,99.10862355,108.8,132.7799898,0.58,36.3,2443.615127,1.909144442,5860.581471,96.4309082,98,99,74.992,383440,54.555
Thailand,2013,99.42706299,107.44,133.3839359,0.21,36,2514.758377,1.778745892,6168.261356,93.70207214,99,99,75.378,395710,53.807
Thailand,2014,99.48364258,105.34,133.9598505,0.58,32.6,2538.795713,1.441465365,5951.883487,93.70207214,99,99,75.747,390010,53.057
